Train_Number,Organisation,Busan,Gupo,Mulgeum,Miryang,Gyeongsan,Ulsan,Gyeongju,Dongdaegu,Seodaegu,Gimcheon(Gumi),Daejeon,Osong,Cheonan-Asan,PyeongtaekJije,Dongtan,Suseo,Gwangmyeong,Suwon,Yeongdeungpo,Seoul,Haengsin,Frequency
128,,19:54:00,,,,,,,20:35:30,,,21:19:00,,,,,,,22:29:30,22:51:30,23:02:00,,Everyday
176,,20:04:00,,,,,,,20:45:30,,,21:28:30,,,,,,,22:39:30,23:04:00,23:15:00,,"Friday, Saturday, Sunday"
198,KTX-Sancheon,20:11:00,,,,,,,20:57:00,,,21:40:00,,22:04:00,,,,22:29:30,,,22:47:00,,"Friday, Saturday, Sunday"
62,,20:23:00,,,,,20:46:30,,21:13:30,,,21:56:30,,22:20:30,,,,22:46:30,,,23:06:00,,Everyday
64,,20:40:00,,,,,21:03:00,,21:28:00,,21:51:00,22:16:00,,22:40:00,,,,23:05:30,,,23:23:00,,Everyday
66,,21:00:00,,,,,21:23:00,21:35:00,21:53:30,,,22:36:00,22:53:30,,,,,23:27:00,,,23:49:00,00:06:00,Everyday
112,,20:36:00,20:50:30,,21:16:30,,,,21:50:30,22:00:00,,22:42:00,22:59:30,,,,,23:32:30,,,23:50:00,,Everyday
68,,21:28:00,,,,,21:51:00,22:03:00,22:21:30,,22:44:30,23:10:00,,,,,,23:53:30,,,00:11:00,,Everyday
70,,21:41:00,,,,,22:04:30,,22:29:30,,,23:13:30,23:31:00,,,,,00:03:30,,,00:21:00,,Everyday
72,,22:00:00,,,,,22:23:00,,22:48:00,,,23:30:30,,,,,,,,,00:27:00,,Everyday
74,,22:10:00,,,,,,22:38:30,22:57:00,,,23:40:00,,00:04:30,,,,,,,00:42:00,,Everyday
